id,song,artist_or_source,language,genre,mood,activity,energy,min_age,max_age,age_group,recommendation_tags,context_mood,context_activity,context_energy
HR-064,Kadalalle,Dear Comrade,Telugu,Melody,Calm,Relaxing,Low,1,5,1-5,"Telugu,Melody,Calm,Relaxing,Low",Sad,Relaxing,Low
HR-065,Maate Vinadhuga,Taxiwaala,Telugu,Melody,Calm,Studying,Low,6,12,6-12,"Telugu,Melody,Calm,Studying,Low",Romantic,Relaxing,Low
HR-066,Priyathama Priyathama,Majili,Telugu,Melody,Emotional,Relaxing,Low,13,17,13-17,"Telugu,Melody,Emotional,Relaxing,Low",Happy,Party,High
HR-067,Nee Kannu Neeli Samudram,Uppena,Telugu,Melody,Calm,Relaxing,Low,18,25,18-25,"Telugu,Melody,Calm,Relaxing,Low",Energetic,Workout,High
HR-068,Undiporaadhey,Hushaaru,Telugu,Melody,Emotional,Relaxing,Low,26,35,26-35,"Telugu,Melody,Emotional,Relaxing,Low",Calm,Meditation,Low
HR-069,Inkem Inkem Inkem Kaavaale,Geetha Govindam,Telugu,Melody,Happy,Studying,Medium,36,50,36-50,"Telugu,Melody,Happy,Studying,Medium",Bored,Walking,Medium
HR-070,Samajavaragamana,Ala Vaikunthapurramuloo,Telugu,Melody,Happy,Relaxing,Medium,51,65,51-65,"Telugu,Melody,Happy,Relaxing,Medium",Focused,Working,Low
HR-071,Vachindamma,Geetha Govindam,Telugu,Melody,Happy,Walking,Medium,66,80,66-80,"Telugu,Melody,Happy,Walking,Medium",Happy,Walking,Medium
HR-072,Naa Roja Nuvve,Kushi,Telugu,Melody,Romantic,Relaxing,Low,81,100,81-100,"Telugu,Melody,Romantic,Relaxing,Low",Calm,Studying,Low
HR-073,Ramuloo Ramulaa,Ala Vaikunthapurramuloo,Telugu,Dance,Happy,Party,High,1,5,1-5,"Telugu,Dance,Happy,Party,High",Stressed,Studying,Low
HR-074,Mind Block,Sarileru Neekevvaru,Telugu,Dance,Energetic,Workout,High,6,12,6-12,"Telugu,Dance,Energetic,Workout,High",Sad,Relaxing,Low
HR-075,Oo Antava Oo Oo Antava,Pushpa,Telugu,Dance,Energetic,Workout,High,13,17,13-17,"Telugu,Dance,Energetic,Workout,High",Romantic,Relaxing,Low
HR-076,Daakko Daakko Meka,Pushpa,Telugu,Folk,Energetic,Workout,High,18,25,18-25,"Telugu,Folk,Energetic,Workout,High",Happy,Party,High
HR-077,Seeti Maar,DJ,Telugu,Dance,Energetic,Workout,High,26,35,26-35,"Telugu,Dance,Energetic,Workout,High",Energetic,Workout,High
HR-078,Blockbuster,Sarrainodu,Telugu,Dance,Happy,Party,High,36,50,36-50,"Telugu,Dance,Happy,Party,High",Calm,Meditation,Low
HR-079,Pakka Local,Janatha Garage,Telugu,Dance,Happy,Party,High,51,65,51-65,"Telugu,Dance,Happy,Party,High",Bored,Walking,Medium
HR-080,Top Lesi Poddi,Iddarammayilatho,Telugu,Dance,Happy,Party,High,66,80,66-80,"Telugu,Dance,Happy,Party,High",Focused,Working,Low
HR-081,Inthandham,Sita Ramam,Telugu,Melody,Calm,Studying,Low,81,100,81-100,"Telugu,Melody,Calm,Studying,Low",Happy,Walking,Medium
HR-082,Oh Sita Hey Rama,Sita Ramam,Telugu,Melody,Calm,Studying,Low,1,5,1-5,"Telugu,Melody,Calm,Studying,Low",Calm,Studying,Low
HR-083,Adiga Adiga,Ninnu Kori,Telugu,Melody,Stressed,Studying,Low,6,12,6-12,"Telugu,Melody,Stressed,Studying,Low",Stressed,Studying,Low
HR-084,Kadalalle,Dear Comrade,Telugu,Melody,Calm,Relaxing,Low,13,17,13-17,"Telugu,Melody,Calm,Relaxing,Low",Sad,Relaxing,Low
HR-085,Maate Vinadhuga,Taxiwaala,Telugu,Melody,Calm,Studying,Low,18,25,18-25,"Telugu,Melody,Calm,Studying,Low",Romantic,Relaxing,Low
HR-086,Priyathama Priyathama,Majili,Telugu,Melody,Emotional,Relaxing,Low,26,35,26-35,"Telugu,Melody,Emotional,Relaxing,Low",Happy,Party,High
HR-087,Nee Kannu Neeli Samudram,Uppena,Telugu,Melody,Calm,Relaxing,Low,36,50,36-50,"Telugu,Melody,Calm,Relaxing,Low",Energetic,Workout,High
HR-088,Undiporaadhey,Hushaaru,Telugu,Melody,Emotional,Relaxing,Low,51,65,51-65,"Telugu,Melody,Emotional,Relaxing,Low",Calm,Meditation,Low
HR-089,Inkem Inkem Inkem Kaavaale,Geetha Govindam,Telugu,Melody,Happy,Studying,Medium,66,80,66-80,"Telugu,Melody,Happy,Studying,Medium",Bored,Walking,Medium
HR-090,Samajavaragamana,Ala Vaikunthapurramuloo,Telugu,Melody,Happy,Relaxing,Medium,81,100,81-100,"Telugu,Melody,Happy,Relaxing,Medium",Focused,Working,Low
HR-091,Vachindamma,Geetha Govindam,Telugu,Melody,Happy,Walking,Medium,1,5,1-5,"Telugu,Melody,Happy,Walking,Medium",Happy,Walking,Medium
HR-092,Naa Roja Nuvve,Kushi,Telugu,Melody,Romantic,Relaxing,Low,6,12,6-12,"Telugu,Melody,Romantic,Relaxing,Low",Calm,Studying,Low
HR-093,Ramuloo Ramulaa,Ala Vaikunthapurramuloo,Telugu,Dance,Happy,Party,High,13,17,13-17,"Telugu,Dance,Happy,Party,High",Stressed,Studying,Low
HR-094,Mind Block,Sarileru Neekevvaru,Telugu,Dance,Energetic,Workout,High,18,25,18-25,"Telugu,Dance,Energetic,Workout,High",Sad,Relaxing,Low
HR-095,Oo Antava Oo Oo Antava,Pushpa,Telugu,Dance,Energetic,Workout,High,26,35,26-35,"Telugu,Dance,Energetic,Workout,High",Romantic,Relaxing,Low
HR-096,Daakko Daakko Meka,Pushpa,Telugu,Folk,Energetic,Workout,High,36,50,36-50,"Telugu,Folk,Energetic,Workout,High",Happy,Party,High
HR-097,Seeti Maar,DJ,Telugu,Dance,Energetic,Workout,High,51,65,51-65,"Telugu,Dance,Energetic,Workout,High",Energetic,Workout,High
HR-098,Blockbuster,Sarrainodu,Telugu,Dance,Happy,Party,High,66,80,66-80,"Telugu,Dance,Happy,Party,High",Calm,Meditation,Low
HR-099,Pakka Local,Janatha Garage,Telugu,Dance,Happy,Party,High,81,100,81-100,"Telugu,Dance,Happy,Party,High",Bored,Walking,Medium
HR-100,Top Lesi Poddi,Iddarammayilatho,Telugu,Dance,Happy,Party,High,1,5,1-5,"Telugu,Dance,Happy,Party,High",Focused,Working,Low
HR-101,Vaseegara,Minnale,Tamil,Melody,Calm,Relaxing,Low,1,5,1-5,"Tamil,Melody,Calm,Relaxing,Low",Happy,Walking,Medium
HR-102,Munbe Vaa,Sillunu Oru Kadhal,Tamil,Melody,Calm,Studying,Low,6,12,6-12,"Tamil,Melody,Calm,Studying,Low",Calm,Studying,Low
HR-103,Anbil Avan,Vinnaithaandi Varuvaayaa,Tamil,Melody,Romantic,Relaxing,Low,13,17,13-17,"Tamil,Melody,Romantic,Relaxing,Low",Stressed,Studying,Low
HR-104,Maruvaarthai,Enai Noki Paayum Thota,Tamil,Melody,Emotional,Relaxing,Low,18,25,18-25,"Tamil,Melody,Emotional,Relaxing,Low",Sad,Relaxing,Low
HR-105,Nenjukkul Peidhidum,Vaaranam Aayiram,Tamil,Melody,Calm,Studying,Low,26,35,26-35,"Tamil,Melody,Calm,Studying,Low",Romantic,Relaxing,Low
HR-106,Rowdy Baby,Maari 2,Tamil,Dance,Happy,Party,High,36,50,36-50,"Tamil,Dance,Happy,Party,High",Happy,Party,High
HR-107,Arabic Kuthu,Beast,Tamil,Dance,Energetic,Workout,High,51,65,51-65,"Tamil,Dance,Energetic,Workout,High",Energetic,Workout,High
HR-108,Vaathi Coming,Master,Tamil,Dance,Energetic,Workout,High,66,80,66-80,"Tamil,Dance,Energetic,Workout,High",Calm,Meditation,Low
HR-109,Aaluma Doluma,Vedalam,Tamil,Dance,Energetic,Workout,High,81,100,81-100,"Tamil,Dance,Energetic,Workout,High",Bored,Walking,Medium
HR-110,Enjoy Enjaami,Single,Tamil,Folk,Happy,Walking,Medium,1,5,1-5,"Tamil,Folk,Happy,Walking,Medium",Focused,Working,Low
HR-111,Tum Tum,Enemy,Tamil,Dance,Happy,Party,High,6,12,6-12,"Tamil,Dance,Happy,Party,High",Happy,Walking,Medium
HR-112,Jimikki Ponnu,Varisu,Tamil,Dance,Happy,Party,High,13,17,13-17,"Tamil,Dance,Happy,Party,High",Calm,Studying,Low
HR-113,Megham Karukatha,Thiruchitrambalam,Tamil,Melody,Calm,Relaxing,Low,18,25,18-25,"Tamil,Melody,Calm,Relaxing,Low",Stressed,Studying,Low
HR-114,Kaavaalaa,Jailer,Tamil,Dance,Energetic,Party,High,26,35,26-35,"Tamil,Dance,Energetic,Party,High",Sad,Relaxing,Low
HR-115,Hukum,Jailer,Tamil,Rock,Energetic,Workout,High,36,50,36-50,"Tamil,Rock,Energetic,Workout,High",Romantic,Relaxing,Low
HR-116,Why This Kolaveri Di,3,Tamil,Pop,Happy,Party,Medium,51,65,51-65,"Tamil,Pop,Happy,Party,Medium",Happy,Party,High
HR-117,Anbe En Anbe,Dhaam Dhoom,Tamil,Melody,Romantic,Relaxing,Low,66,80,66-80,"Tamil,Melody,Romantic,Relaxing,Low",Energetic,Workout,High
HR-118,Pachai Kiligal,Indian,Tamil,Melody,Calm,Relaxing,Low,81,100,81-100,"Tamil,Melody,Calm,Relaxing,Low",Calm,Meditation,Low
HR-119,New York Nagaram,Sillunu Oru Kadhal,Tamil,Melody,Emotional,Relaxing,Low,1,5,1-5,"Tamil,Melody,Emotional,Relaxing,Low",Bored,Walking,Medium
HR-120,Hosanna,Vinnaithaandi Varuvaayaa,Tamil,Melody,Romantic,Relaxing,Medium,6,12,6-12,"Tamil,Melody,Romantic,Relaxing,Medium",Focused,Working,Low
HR-121,Vaseegara,Minnale,Tamil,Melody,Calm,Relaxing,Low,13,17,13-17,"Tamil,Melody,Calm,Relaxing,Low",Happy,Walking,Medium
HR-122,Munbe Vaa,Sillunu Oru Kadhal,Tamil,Melody,Calm,Studying,Low,18,25,18-25,"Tamil,Melody,Calm,Studying,Low",Calm,Studying,Low
HR-123,Anbil Avan,Vinnaithaandi Varuvaayaa,Tamil,Melody,Romantic,Relaxing,Low,26,35,26-35,"Tamil,Melody,Romantic,Relaxing,Low",Stressed,Studying,Low
HR-124,Maruvaarthai,Enai Noki Paayum Thota,Tamil,Melody,Emotional,Relaxing,Low,36,50,36-50,"Tamil,Melody,Emotional,Relaxing,Low",Sad,Relaxing,Low
HR-125,Nenjukkul Peidhidum,Vaaranam Aayiram,Tamil,Melody,Calm,Studying,Low,51,65,51-65,"Tamil,Melody,Calm,Studying,Low",Romantic,Relaxing,Low
HR-126,Rowdy Baby,Maari 2,Tamil,Dance,Happy,Party,High,66,80,66-80,"Tamil,Dance,Happy,Party,High",Happy,Party,High
HR-127,Arabic Kuthu,Beast,Tamil,Dance,Energetic,Workout,High,81,100,81-100,"Tamil,Dance,Energetic,Workout,High",Energetic,Workout,High
HR-128,Vaathi Coming,Master,Tamil,Dance,Energetic,Workout,High,1,5,1-5,"Tamil,Dance,Energetic,Workout,High",Calm,Meditation,Low
HR-129,Aaluma Doluma,Vedalam,Tamil,Dance,Energetic,Workout,High,6,12,6-12,"Tamil,Dance,Energetic,Workout,High",Bored,Walking,Medium
HR-130,Enjoy Enjaami,Single,Tamil,Folk,Happy,Walking,Medium,13,17,13-17,"Tamil,Folk,Happy,Walking,Medium",Focused,Working,Low
HR-131,Tum Tum,Enemy,Tamil,Dance,Happy,Party,High,18,25,18-25,"Tamil,Dance,Happy,Party,High",Happy,Walking,Medium
HR-132,Jimikki Ponnu,Varisu,Tamil,Dance,Happy,Party,High,26,35,26-35,"Tamil,Dance,Happy,Party,High",Calm,Studying,Low
HR-133,Megham Karukatha,Thiruchitrambalam,Tamil,Melody,Calm,Relaxing,Low,36,50,36-50,"Tamil,Melody,Calm,Relaxing,Low",Stressed,Studying,Low
HR-134,Kaavaalaa,Jailer,Tamil,Dance,Energetic,Party,High,51,65,51-65,"Tamil,Dance,Energetic,Party,High",Sad,Relaxing,Low
HR-135,Hukum,Jailer,Tamil,Rock,Energetic,Workout,High,66,80,66-80,"Tamil,Rock,Energetic,Workout,High",Romantic,Relaxing,Low
HR-136,Why This Kolaveri Di,3,Tamil,Pop,Happy,Party,Medium,81,100,81-100,"Tamil,Pop,Happy,Party,Medium",Happy,Party,High
HR-137,Anbe En Anbe,Dhaam Dhoom,Tamil,Melody,Romantic,Relaxing,Low,1,5,1-5,"Tamil,Melody,Romantic,Relaxing,Low",Energetic,Workout,High
HR-138,Pachai Kiligal,Indian,Tamil,Melody,Calm,Relaxing,Low,6,12,6-12,"Tamil,Melody,Calm,Relaxing,Low",Calm,Meditation,Low
HR-139,New York Nagaram,Sillunu Oru Kadhal,Tamil,Melody,Emotional,Relaxing,Low,13,17,13-17,"Tamil,Melody,Emotional,Relaxing,Low",Bored,Walking,Medium
HR-140,Hosanna,Vinnaithaandi Varuvaayaa,Tamil,Melody,Romantic,Relaxing,Medium,18,25,18-25,"Tamil,Melody,Romantic,Relaxing,Medium",Focused,Working,Low
HR-141,Vaseegara,Minnale,Tamil,Melody,Calm,Relaxing,Low,26,35,26-35,"Tamil,Melody,Calm,Relaxing,Low",Happy,Walking,Medium
HR-142,Munbe Vaa,Sillunu Oru Kadhal,Tamil,Melody,Calm,Studying,Low,36,50,36-50,"Tamil,Melody,Calm,Studying,Low",Calm,Studying,Low
HR-143,Anbil Avan,Vinnaithaandi Varuvaayaa,Tamil,Melody,Romantic,Relaxing,Low,51,65,51-65,"Tamil,Melody,Romantic,Relaxing,Low",Stressed,Studying,Low
HR-144,Maruvaarthai,Enai Noki Paayum Thota,Tamil,Melody,Emotional,Relaxing,Low,66,80,66-80,"Tamil,Melody,Emotional,Relaxing,Low",Sad,Relaxing,Low
HR-145,Nenjukkul Peidhidum,Vaaranam Aayiram,Tamil,Melody,Calm,Studying,Low,81,100,81-100,"Tamil,Melody,Calm,Studying,Low",Romantic,Relaxing,Low
HR-146,Rowdy Baby,Maari 2,Tamil,Dance,Happy,Party,High,1,5,1-5,"Tamil,Dance,Happy,Party,High",Happy,Party,High
HR-147,Arabic Kuthu,Beast,Tamil,Dance,Energetic,Workout,High,6,12,6-12,"Tamil,Dance,Energetic,Workout,High",Energetic,Workout,High
HR-148,Vaathi Coming,Master,Tamil,Dance,Energetic,Workout,High,13,17,13-17,"Tamil,Dance,Energetic,Workout,High",Calm,Meditation,Low
HR-149,Aaluma Doluma,Vedalam,Tamil,Dance,Energetic,Workout,High,18,25,18-25,"Tamil,Dance,Energetic,Workout,High",Bored,Walking,Medium
HR-150,Enjoy Enjaami,Single,Tamil,Folk,Happy,Walking,Medium,26,35,26-35,"Tamil,Folk,Happy,Walking,Medium",Focused,Working,Low
HR-151,Tum Tum,Enemy,Tamil,Dance,Happy,Party,High,36,50,36-50,"Tamil,Dance,Happy,Party,High",Happy,Walking,Medium
HR-152,Jimikki Ponnu,Varisu,Tamil,Dance,Happy,Party,High,51,65,51-65,"Tamil,Dance,Happy,Party,High",Calm,Studying,Low
HR-153,Megham Karukatha,Thiruchitrambalam,Tamil,Melody,Calm,Relaxing,Low,66,80,66-80,"Tamil,Melody,Calm,Relaxing,Low",Stressed,Studying,Low
HR-154,Kaavaalaa,Jailer,Tamil,Dance,Energetic,Party,High,81,100,81-100,"Tamil,Dance,Energetic,Party,High",Sad,Relaxing,Low
HR-155,Hukum,Jailer,Tamil,Rock,Energetic,Workout,High,1,5,1-5,"Tamil,Rock,Energetic,Workout,High",Romantic,Relaxing,Low
HR-156,Why This Kolaveri Di,3,Tamil,Pop,Happy,Party,Medium,6,12,6-12,"Tamil,Pop,Happy,Party,Medium",Happy,Party,High
HR-157,Anbe En Anbe,Dhaam Dhoom,Tamil,Melody,Romantic,Relaxing,Low,13,17,13-17,"Tamil,Melody,Romantic,Relaxing,Low",Energetic,Workout,High
HR-158,Pachai Kiligal,Indian,Tamil,Melody,Calm,Relaxing,Low,18,25,18-25,"Tamil,Melody,Calm,Relaxing,Low",Calm,Meditation,Low
HR-159,New York Nagaram,Sillunu Oru Kadhal,Tamil,Melody,Emotional,Relaxing,Low,26,35,26-35,"Tamil,Melody,Emotional,Relaxing,Low",Bored,Walking,Medium
HR-160,Hosanna,Vinnaithaandi Varuvaayaa,Tamil,Melody,Romantic,Relaxing,Medium,36,50,36-50,"Tamil,Melody,Romantic,Relaxing,Medium",Focused,Working,Low
HR-161,Vaseegara,Minnale,Tamil,Melody,Calm,Relaxing,Low,51,65,51-65,"Tamil,Melody,Calm,Relaxing,Low",Happy,Walking,Medium
HR-162,Munbe Vaa,Sillunu Oru Kadhal,Tamil,Melody,Calm,Studying,Low,66,80,66-80,"Tamil,Melody,Calm,Studying,Low",Calm,Studying,Low
